urn,title,page_start,page_end,overlapp,digital_visning,comment,dhlabid,pages
URN:NBN:no-nb_digibok_2016051048054,De gamle,63,64,x,,,dhlab_norn_poem_00155,
URN:NBN:no-nb_digibok_2016051048054,Ære være,64,65,x,,,dhlab_norn_poem_00156,
URN:NBN:no-nb_digibok_2016051048054,Det skjønne land,65,66,x,,,dhlab_norn_poem_00157,
URN:NBN:no-nb_digibok_2016051048054,Vi ere fremmede,66,66,x,,,dhlab_norn_poem_00158,
URN:NBN:no-nb_digibok_2016051048054,Jammer over Jammer,67,67,,,,dhlab_norn_poem_00159,
URN:NBN:no-nb_digibok_2016051048054,Raad for uraad,68,69,x,,,dhlab_norn_poem_00160,
URN:NBN:no-nb_digibok_2016051048054,Den uhyre gjæld!,69,69,x,,,dhlab_norn_poem_00161,
URN:NBN:no-nb_digibok_2016051048054,Bibelen,70,70,,,,dhlab_norn_poem_00162,
URN:NBN:no-nb_digibok_2016051048054,Guds ord,71,71,x,,,dhlab_norn_poem_00163,
URN:NBN:no-nb_digibok_2016051048054,Beder du?,71,72,x,,,dhlab_norn_poem_00164,
URN:NBN:no-nb_digibok_2016051048054,Bed i tro,72,73,x,,,dhlab_norn_poem_00165,
URN:NBN:no-nb_digibok_2016051048054,"Kom, som du er!",73,74,x,,,dhlab_norn_poem_00166,
URN:NBN:no-nb_digibok_2016051048054,Kom til Jesus,74,75,x,,,dhlab_norn_poem_00167,
URN:NBN:no-nb_digibok_2016051048054,Den lille folk ,75,76,x,,,dhlab_norn_poem_00168,
URN:NBN:no-nb_digibok_2016051048054,Jeg fortæller det til Gud,76,77,x,,,dhlab_norn_poem_00169,
URN:NBN:no-nb_digibok_2016051048054,Følg Jesus,77,78,x,,,dhlab_norn_poem_00170,
URN:NBN:no-nb_digibok_2016051048054,Den sidste stund,78,79,x,,,dhlab_norn_poem_00171,
URN:NBN:no-nb_digibok_2016051048054,Tre toner,80,80,x,,,dhlab_norn_poem_00172,
URN:NBN:no-nb_digibok_2016051048054,Hjemlængsel,80,81,x,,,dhlab_norn_poem_00173,
URN:NBN:no-nb_digibok_2016051048054,Landet hindsides,81,82,x,,,dhlab_norn_poem_00174,
URN:NBN:no-nb_digibok_2016051048054,"Hvad et menneske faar, det skal han høste",82,84,x,,,dhlab_norn_poem_00175,
URN:NBN:no-nb_digibok_2016051048054,Broderhilsen,84,84,x,,,dhlab_norn_poem_00176,
URN:NBN:no-nb_digibok_2016051048054,Det underlige syn,85,85,x,,,dhlab_norn_poem_00177,
URN:NBN:no-nb_digibok_2016051048054,Hal det op,86,87,x,,,dhlab_norn_poem_00178,
URN:NBN:no-nb_digibok_2016051048054,Den unge martyr,87,89,x,,,dhlab_norn_poem_00179,
